 Squeeze 5 - Near well squeeze treatment simulator

 CF02 Isotherm Derivation                                                      
 title2                                                                        

 This is the linear CORE FLOOD model.
 (Note that cgs units are in use here)

 The equilibrium isotherm is defined by the table:

          Mobile Concentration       Adsorped Concentration
            (ppm/ft^3 water)             (ppm/ft^3 rock)   
          --------------------       ----------------------
                   0.0000                        0.00
                   1.8000                       35.11
                   4.4700                       93.19
                   5.6500                      115.63
                   6.3800                      130.40
                   6.8800                      136.54
                   7.7600                      152.85
                  15.6000                      202.93
                  28.6000                      271.61
                  31.8000                      282.78
                  44.0000                      311.91
                  83.3000                      389.11
                 242.0000                      651.80
                 421.0000                      911.67
                 529.0000                     1054.64
                 651.0000                     1200.53
                7019.0000                     8272.04
                9836.0000                    11043.98
               21654.0000                    20584.04
               27084.0000                    23780.07
              139998.0000                    72002.15
              235262.0000                   107823.60
              256612.0000                   115529.18
              258444.0000                   115951.47
              260156.0000                   116406.70
              260543.0000                   116528.05


 The simulation assumes that the adsorption level is always at equilibrium.


      Stage  Duration  Core Flow Rate  Well Conc.  Dispersion  Time Step
       No.    (hours)    (cm3/hour)      (ppm)       (cm2/s) 
      -----  --------  --------------  ----------  ----------  ---------

                 * Non-equilibrium shut-in inputted changed
                   to an equilibrium shut-in as the system
                   is already assumed to be at equilibrium.

  Output at    416 time steps, out of a total of   4166 in simulation.

 Simulating ...

     Elapsed      Cumulative Water    Inhibitor Conc.    Cumulative Inhibitor
      0.340               2.061            0.00000000                   0.00
      0.350               2.121            0.00000000                   0.00
      0.360               2.182            0.00000000                   0.00
      0.370               2.242            0.00000000                   0.00
      0.380               2.303            0.00000000                   0.00
      0.390               2.364            0.00000000                   0.00
      0.400               2.424            0.00000002                   0.00
      0.410               2.485            0.00000025                   0.00
      0.420               2.545            0.00000332                   0.00
      0.430               2.606            0.00004017                   0.00
      0.440               2.667            0.00049169                   0.00
      0.450               2.727            0.00665736                   0.00
      0.460               2.788            0.06598222                   0.02
      0.470               2.848            1.12509021                   0.27
      0.480               2.909            8.27039751                   2.68
      0.490               2.970          176.89669994                  45.54
      0.500               3.030          780.83503105                 318.78
      0.510               3.091         2129.53280113                1189.58
      0.520               3.151         4755.14710217                3252.95
      0.530               3.212         9623.62242021                7537.99
      0.540               3.273         *************               16231.10
      0.550               3.333         *************               32132.07
      0.560               3.394         *************               58770.26
      0.570               3.454         *************               96362.18
      0.580               3.515         *************              144651.38
      0.590               3.576         *************              203363.90
      0.600               3.636         *************              272198.10
      0.610               3.697         *************              350827.57
      0.620               3.757         *************              438970.08
      0.630               3.818         *************              536044.33
      0.640               3.879         *************              640992.28
      0.650               3.939         *************              752856.70
      0.660               4.000         *************              870775.62
      0.670               4.060         *************              993975.63
      0.680               4.121         *************             1121765.37
      0.690               4.182         *************             1253529.74
      0.700               4.242         *************             1388722.67
      0.710               4.303         *************             1526864.68
      0.720               4.363         *************             1667528.52
      0.730               4.424         *************             1810354.43
      0.740               4.485         *************             1954985.86
      0.750               4.545         *************             2101107.55
      0.760               4.606         *************             2248454.93
      0.770               4.666         *************             2396806.82
      0.780               4.727         *************             2545979.05
      0.790               4.788         *************             2695818.88
      0.800               4.848         *************             2846200.09
      0.810               4.909         *************             2997018.81
      0.820               4.969         *************             3148189.90
      0.830               5.030         *************             3299643.80
      0.840               5.091         *************             3451323.93
      0.850               5.151         *************             3603184.44
      0.860               5.212         *************             3755188.28
      0.870               5.272         *************             3907305.65
      0.880               5.333         *************             4059512.66
      0.890               5.394         *************             4211790.22
      0.900               5.454         *************             4364123.14
      0.910               5.515         *************             4516499.36
      0.920               5.575         *************             4668909.35
      0.930               5.636         *************             4821345.59
      0.940               5.697         *************             4973802.18
      0.950               5.757         *************             5126274.51
      0.960               5.818         *************             5278758.97
      0.970               5.878         *************             5431252.75
      0.980               5.939         *************             5583753.67
      0.990               6.000         *************             5736260.06
      1.000               6.060         *************             5888770.61
      1.010               6.121         *************             6041284.34
      1.020               6.182         *************             6193800.46
      1.030               6.242         *************             6346318.40
      1.040               6.303         *************             6498837.72
      1.050               6.363         *************             6651358.06
      1.060               6.424         *************             6803879.18
      1.070               6.485         *************             6956400.89
      1.080               6.545         *************             7108923.02
      1.090               6.606         *************             7261445.48
      1.100               6.666         *************             7413968.19
      1.110               6.727         *************             7566491.07
      1.120               6.788         *************             7719014.08
      1.130               6.848         *************             7871537.19
      1.140               6.909         *************             8024060.37
      1.150               6.969         *************             8176583.61
      1.160               7.030         *************             8329106.89
      1.206               7.066         *************             8420620.87
      1.306               7.066         *************             8420620.87
      1.406               7.066         *************             8420620.87
      1.506               7.066         *************             8420620.87
      1.606               7.066         *************             8420620.87
      1.706               7.066         *************             8420620.87
      1.806               7.066         *************             8420620.87
      1.906               7.066         *************             8420620.87
      2.006               7.066         *************             8420620.87
      2.106               7.066         *************             8420620.87
      2.206               7.066         *************             8420620.87
      2.306               7.066         *************             8420620.87
      2.406               7.066         *************             8420620.87
      2.506               7.066         *************             8420620.87
      2.606               7.066         *************             8420620.87
      2.706               7.066         *************             8420620.87
      2.806               7.066         *************             8420620.87
      2.906               7.066         *************             8420620.87
      3.006               7.066         *************             8420620.87
      3.106               7.066         *************             8420620.87
      3.206               7.066         *************             8420620.87
      3.306               7.066         *************             8420620.87
      3.406               7.066         *************             8420620.87
      3.506               7.066         *************             8420620.87
      3.606               7.066         *************             8420620.87
      3.706               7.066         *************             8420620.87
      3.806               7.066         *************             8420620.87
      3.906               7.066         *************             8420620.87
      4.006               7.066         *************             8420620.87
      4.106               7.066         *************             8420620.87
      4.206               7.066         *************             8420620.87
      4.306               7.066         *************             8420620.87
      4.406               7.066         *************             8420620.87
      4.506               7.066         *************             8420620.87
      4.606               7.066         *************             8420620.87
      4.706               7.066         *************             8420620.87
      4.806               7.066         *************             8420620.87
      4.906               7.066         *************             8420620.87
      5.006               7.066         *************             8420620.87
      5.106               7.066         *************             8420620.87
      5.206               7.066         *************             8420620.87
      5.306               7.066         *************             8420620.87
      5.406               7.066         *************             8420620.87
      5.506               7.066         *************             8420620.87
      5.606               7.066         *************             8420620.87
      5.706               7.066         *************             8420620.87
      5.806               7.066         *************             8420620.87
      5.906               7.066         *************             8420620.87
      6.006               7.066         *************             8420620.87
      6.106               7.066         *************             8420620.87
      6.206               7.066         *************             8420620.87
      6.306               7.066         *************             8420620.87
      6.406               7.066         *************             8420620.87
      6.506               7.066         *************             8420620.87
      6.606               7.066         *************             8420620.87
      6.706               7.066         *************             8420620.87
      6.806               7.066         *************             8420620.87
      6.906               7.066         *************             8420620.87
      7.006               7.066         *************             8420620.87
      7.106               7.066         *************             8420620.87
      7.206               7.309         *************             9030871.11
      7.306               7.915         *************            10556494.76
      7.406               8.521         *************            12081322.84
      7.506               9.127         *************            13583801.26
      7.606               9.734         *************            14947379.22
      7.706              10.340         *************            15984468.47
      7.806              10.946         *************            16649835.32
      7.906              11.552         *************            17011400.71
      8.006              12.158         *************            17210324.39
      8.106              12.764         *************            17352376.40
      8.206              13.371         *************            17465420.62
      8.306              13.977         *************            17550589.21
      8.406              14.583         9268.79578723            17613519.21
      8.506              15.189         7055.28564503            17661655.37
      8.606              15.795         5176.43680994            17697769.12
      8.706              16.402         3486.32929807            17723087.80
      8.806              17.008         2194.15506492            17739522.69
      8.906              17.614         1332.66375722            17749644.44
      9.006              18.220          824.94515627            17755816.98
      9.106              18.826          559.78342980            17759800.25
      9.206              19.433          414.14637102            17762645.39
      9.306              20.039          313.58418176            17764785.91
      9.406              20.645          239.82417836            17766410.59
      9.506              21.251          187.01849775            17767671.26
      9.606              21.857          143.84462748            17768645.58
      9.706              22.463          111.57726441            17769396.83
      9.806              23.070           89.42455649            17769988.56
      9.906              23.676           75.18637155            17770475.24
     10.006              24.282           63.95465542            17770888.18
     10.106              24.888           55.06990112            17771241.40
     10.206              25.494           48.51429819            17771549.09
     10.306              26.101           43.97756462            17771824.35
     10.406              26.707           40.88638908            17772077.87
     10.506              27.313           38.17496178            17772314.02
     10.606              27.919           35.93962562            17772535.44
     10.706              28.525           34.20141621            17772745.10
     10.806              29.131           32.92720812            17772945.89
     10.906              29.738           32.05159449            17773140.38
     11.006              30.344           31.49286972            17773330.71
     11.106              30.950           30.97351093            17773517.97
     11.206              31.556           30.43931432            17773702.05
     11.306              32.162           29.91928917            17773882.95
     11.406              32.769           29.43812865            17774060.86
     11.506              33.375           29.01392870            17774236.06
     11.606              33.981           28.65786500            17774408.94
     11.706              34.587           28.38356562            17774579.97
     11.806              35.193           28.06058952            17774749.24
     11.906              35.800           27.66657068            17774916.34
     12.006              36.406           27.20077584            17775080.84
     12.106              37.012           26.66482008            17775242.31
     12.206              37.618           26.06267002            17775400.34
     12.306              38.224           25.40051482            17775554.56
     12.406              38.830           24.68651822            17775704.63
     12.506              39.437           23.93047208            17775850.27
     12.606              40.043           23.14337909            17775991.27
     12.706              40.649           22.33699460            17776127.48
     12.806              41.255           21.52335179            17776258.81
     12.906              41.861           20.71432348            17776385.28
     13.006              42.468           19.92116930            17776506.94
     13.106              43.074           19.15425889            17776623.92
     13.206              43.680           18.42270422            17776736.41
     13.306              44.286           17.73402648            17776844.65
     13.406              44.892           17.09517371            17776948.92
     13.506              45.498           16.50821447            17777049.53
     13.606              46.105           15.98205637            17777146.81
     13.706              46.711           15.51036867            17777241.10
     13.806              47.317           15.09599155            17777332.80
     13.906              47.923           14.66834388            17777421.97
     14.006              48.529           14.23232091            17777508.55
     14.106              49.136           13.79271659            17777592.49
     14.206              49.742           13.35411229            17777673.80
     14.306              50.348           12.92078172            17777752.49
     14.406              50.954           12.49661385            17777828.61
     14.506              51.560           12.08505496            17777902.22
     14.606              52.167           11.68906952            17777973.42
     14.706              52.773           11.31111923            17778042.29
     14.806              53.379           10.95315874            17778108.97
     14.906              53.985           10.61664616            17778173.57
     15.006              54.591           10.30256601            17778236.22
     15.106              55.197           10.01146233            17778297.06
     15.206              55.804            9.74347931            17778356.24
     15.306              56.410            9.49840731            17778413.88
     15.406              57.016            9.27573183            17778470.12
     15.506              57.622            9.07468353            17778525.10
     15.606              58.228            8.89428765            17778578.94
     15.706              58.835            8.73341140            17778631.77
     15.806              59.441            8.59080801            17778683.69
     15.906              60.047            8.46515708            17778734.81
     16.006              60.653            8.35510046            17778785.23
     16.106              61.259            8.25927267            17778835.04
     16.206              61.866            8.17632758            17778884.32
     16.306              62.472            8.10495999            17778933.13
     16.406              63.078            8.04392081            17778981.56
     16.506              63.684            7.99203174            17779029.65
     16.606              64.290            7.94819466            17779077.45
     16.706              64.896            7.91139173            17779125.01
     16.806              65.503            7.88069573            17779172.38
     16.906              66.109            7.85527035            17779219.58
     17.006              66.715            7.83435152            17779266.64
     17.106              67.321            7.81727161            17779313.59
     17.206              67.927            7.80344922            17779360.44
     17.306              68.534            7.79233326            17779407.22
     17.406              69.140            7.78349098            17779453.95
     17.506              69.746            7.77656537            17779500.63
     17.606              70.352            7.77112845            17779547.27
     17.706              70.958            7.76695690            17779593.88
     17.806              71.564            7.76391558            17779640.47
     17.906              72.171            7.76151287            17779687.05
     18.006              72.777            7.75978282            17779733.61
     18.106              73.383            7.75890904            17779780.16
     18.206              73.989            7.75783296            17779826.71
     18.306              74.595            7.75652566            17779873.26
     18.406              75.202            7.75495552            17779919.79
     18.506              75.808            7.75308809            17779966.31
     18.606              76.414            7.75088603            17780012.83
     18.706              77.020            7.74830898            17780059.32
     18.806              77.626            7.74531345            17780105.80
     18.906              78.233            7.74185276            17780152.26
     19.006              78.839            7.73787698            17780198.70
     19.106              79.445            7.73333281            17780245.11
     19.206              80.051            7.72816357            17780291.50
     19.306              80.657            7.72230918            17780337.85
     19.406              81.263            7.71570613            17780384.16
     19.506              81.870            7.70828742            17780430.43
     19.606              82.476            7.69998248            17780476.65
     19.706              83.082            7.69071732            17780522.82
     19.806              83.688            7.68041484            17780568.93
     19.906              84.294            7.66899444            17780614.98
     20.006              84.901            7.65637159            17780660.95
     20.106              85.507            7.64245829            17780706.85
     20.206              86.113            7.62716472            17780752.65
     20.306              86.719            7.61039909            17780798.36
     20.406              87.325            7.59206320            17780843.96
     20.506              87.932            7.57205310            17780889.45
     20.606              88.538            7.55026618            17780934.81
     20.706              89.144            7.52660956            17780980.03
     20.806              89.750            7.50097795            17781025.11
     20.906              90.356            7.47323418            17781070.03
     21.006              90.962            7.44325257            17781114.77
     21.106              91.569            7.41095673            17781159.32
     21.206              92.175            7.37632198            17781203.67
     21.306              92.781            7.33909151            17781247.81
     21.406              93.387            7.29899201            17781291.71
     21.506              93.993            7.25604283            17781335.37
     21.606              94.600            7.21049801            17781378.75
     21.706              95.206            7.16256529            17781421.86
     21.806              95.812            7.10997489            17781464.67
     21.906              96.418            7.05351189            17781507.14
     22.006              97.024            6.99479767            17781549.27
     22.106              97.630            6.93531700            17781591.04
     22.206              98.237            6.87446649            17781632.46
     22.306              98.843            6.79158165            17781673.43
     22.406              99.449            6.71638902            17781713.92
     22.506             100.055            6.64781540            17781753.99
     22.606             100.661            6.58677111            17781793.67
     22.706             101.268            6.53281409            17781833.01
     22.806             101.874            6.48405654            17781872.05
     22.906             102.480            6.43901076            17781910.80
     23.006             103.086            6.39650479            17781949.29
     23.106             103.692            6.36463481            17781987.56
     23.206             104.299            6.33775974            17782025.66
     23.306             104.905            6.30927442            17782063.59
     23.406             105.511            6.27914984            17782101.35
     23.506             106.117            6.24736284            17782138.92
     23.606             106.723            6.21389854            17782176.29
     23.706             107.329            6.17874955            17782213.46
     23.806             107.936            6.14188493            17782250.41
     23.906             108.542            6.10327165            17782287.14
     24.006             109.148            6.06290779            17782323.62
     24.106             109.754            6.02081720            17782359.86
     24.206             110.360            5.97704393            17782395.85
     24.306             110.967            5.93157993            17782431.56
     24.406             111.573            5.88417282            17782466.99
     24.506             112.179            5.83496140            17782502.14
     24.606             112.785            5.78413189            17782536.98
     24.706             113.391            5.73185630            17782571.51
     24.806             113.998            5.67829313            17782605.73
     24.906             114.604            5.62198151            17782639.61
     25.006             115.210            5.56324587            17782673.15
     25.106             115.816            5.50402352            17782706.34
     25.206             116.422            5.44439649            17782739.16
     25.306             117.028            5.38444424            17782771.63
     25.406             117.635            5.32423705            17782803.74
     25.506             118.241            5.26383240            17782835.49
     25.606             118.847            5.20328124            17782866.87
     25.706             119.453            5.14270559            17782897.89
     25.806             120.059            5.08222871            17782928.55
     25.906             120.666            5.02191200            17782958.84
     26.006             121.272            4.96177022            17782988.77
     26.106             121.878            4.90178459            17783018.35
     26.206             122.484            4.84192092            17783047.56
     26.306             123.090            4.78275236            17783076.41
     26.406             123.696            4.72441192            17783104.92
     26.506             124.303            4.66659532            17783133.07
     26.606             124.909            4.60904765            17783160.88
     26.706             125.515            4.55155643            17783188.35
     26.806             126.121            4.49394564            17783215.47
     26.906             126.727            4.44011866            17783242.25
     27.006             127.334            4.38809787            17783268.72
     27.106             127.940            4.33485046            17783294.87
     27.206             128.546            4.28040733            17783320.70
     27.306             129.152            4.22480095            17783346.20
     27.406             129.758            4.16806534            17783371.36
     27.506             130.365            4.11023600            17783396.18
     27.606             130.971            4.05134970            17783420.65
     27.706             131.577            3.99144431            17783444.76
     27.806             132.183            3.93055865            17783468.51
     27.906             132.789            3.86873253            17783491.89
     28.006             133.395            3.80600687            17783514.89
     28.106             134.002            3.74242386            17783537.52
     28.206             134.608            3.67802645            17783559.76
     28.306             135.214            3.61285742            17783581.62
     28.406             135.820            3.54695925            17783603.08
     28.506             136.426            3.48037471            17783624.14
     28.606             137.033            3.41314775            17783644.80
     28.706             137.639            3.34532445            17783665.05
     28.806             138.245            3.27695317            17783684.90
     28.906             138.851            3.20807813            17783704.34
     29.006             139.457            3.13873732            17783723.36
     29.106             140.064            3.06896892            17783741.96
     29.206             140.670            2.99881604            17783760.14
     29.306             141.276            2.92832936            17783777.90
     29.406             141.882            2.85756830            17783795.24
     29.506             142.488            2.78659370            17783812.15
     29.606             143.094            2.71540453            17783828.63
     29.706             143.701            2.64400044            17783844.69
     29.806             144.307            2.57242736            17783860.32
     29.906             144.913            2.50076516            17783875.52
     30.006             145.519            2.42911707            17783890.28
     30.106             146.125            2.35760140            17783904.62
     30.206             146.732            2.28626075            17783918.53
     30.306             147.338            2.21455865            17783932.01
     30.406             147.944            2.14269633            17783945.07
     30.506             148.550            2.07101961            17783957.68
     30.606             149.156            1.99982220            17783969.88
     30.706             149.762            1.92935241            17783981.64
     30.806             150.369            1.85981901            17783992.99
     30.906             150.975            1.79043145            17784003.92
     31.006             151.581            1.71634526            17784014.42
     31.106             152.187            1.64476428            17784024.48

  A total of   17784030.31 ppm.cm3 produced,
        from   17799478.54 ppm.cm3 injected:  99.913 percent returned.
